Name,Price,Rating,Review_count,Url
Danyell Davis Unisex Leather Backpack With Laptop Compartment (Brown),"₹4,999",,,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MToyMDEwNzI0MzQ5NDA2NTk5OjE2OTI4MDM1NTA6c3BfYXRmOjMwMDA0MDI3NTU2NDkzMjo6MDo6&url=%2FDanyell-Davis-Leather-Backpack-Compartment%2Fdp%2FB0BWNDNTXG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1692803550%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Danyell Davis Unisex Leather Casual Laptop Backpack (Tan),"₹5,999",5.0 out of 5 stars,1,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MToyMDEwNzI0MzQ5NDA2NTk5OjE2OTI4MDM1NTA6c3BfYXRmOjMwMDA0MDI3NTU2NTEzMjo6MDo6&url=%2FDanyell-Davis-Unisex-Leather-Backpack%2Fdp%2FB0BWNGMHKJ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1692803550%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"5,550",https:www.amaxon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?keywords=bags&qid=1692803550&sr=8-3
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199",4.0 out of 5 stars,"55,291",https:www.amaxon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bags&qid=1692803550&sr=8-4
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3 out of 5 stars,"5,610",https:www.amaxon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_5?keywords=bags&qid=1692803550&sr=8-5
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1 out of 5 stars,"9,714",https:www.amaxon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_6?keywords=bags&qid=1692803550&sr=8-6
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599,3.7 out of 5 stars,"2,467",https:www.amaxon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?keywords=bags&qid=1692803550&sr=8-7
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0 out of 5 stars,"5,655",https:www.amaxon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_8?keywords=bags&qid=1692803550&sr=8-8
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9 out of 5 stars,"16,986",https:www.amaxon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_9?keywords=bags&qid=1692803550&sr=8-9
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899,4.3 out of 5 stars,"6,520",https:www.amaxon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?keywords=bags&qid=1692803550&sr=8-10
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400",4.3 out of 5 stars,78,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MToyMDEwNzI0MzQ5NDA2NTk5OjE2OTI4MDM1NTA6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1692803550%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4.0 out of 5 stars,540,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MToyMDEwNzI0MzQ5NDA2NTk5OjE2OTI4MDM1NTA6c3BfbXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1692803550%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7 out of 5 stars,"7,067",https:www.amaxon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?keywords=bags&qid=1692803550&sr=8-13
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,459",https:www.amaxon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_14?keywords=bags&qid=1692803550&sr=8-14
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4 out of 5 stars,"6,046",https:www.amaxon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?keywords=bags&qid=1692803550&sr=8-15
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550,4.3 out of 5 stars,"12,382",https:www.amaxon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_16?keywords=bags&qid=1692803550&sr=8-16
